ID,Name,Date,High,Low,Open,Close
1,NEM,2015-04-02 23:59:59,0.000227278,0.000242147,0.000323078,0.000313726
2,NEM,2015-04-03 23:59:59,0.000290773,0.00030875,0.000329676,0.000310273
3,NEM,2015-04-04 23:59:59,0.000250514,0.000310235,0.000318236,0.00027653
4,NEM,2015-04-05 23:59:59,0.000218265,0.000271524,0.000282632,0.000231932
5,NEM,2015-04-06 23:59:59,0.000229368,0.000232042,0.000298683,0.000288706
6,NEM,2015-04-07 23:59:59,0.000233713,0.00028846,0.00028846,0.000240521
7,NEM,2015-04-08 23:59:59,0.000223208,0.000245472,0.000258572,0.00022787
8,NEM,2015-04-09 23:59:59,0.000212816,0.000227618,0.00023903,0.000224182
9,NEM,2015-04-10 23:59:59,0.000167379,0.000224198,0.000226941,0.000174693
10,NEM,2015-04-11 23:59:59,0.000143223,0.000174652,0.000191945,0.00016334
11,NEM,2015-04-12 23:59:59,0.000144346,0.000163328,0.000173412,0.000146415
12,NEM,2015-04-13 23:59:59,0.000123058,0.000146289,0.000154675,0.000139244
13,NEM,2015-04-14 23:59:59,0.000136852,0.000139351,0.000178481,0.000153411
14,NEM,2015-04-15 23:59:59,0.000145849,0.000155512,0.000171643,0.000154544
15,NEM,2015-04-16 23:59:59,0.000154602,0.000154602,0.000173837,0.00016348
16,NEM,2015-04-17 23:59:59,0.000159885,0.000167541,0.000171559,0.000167023
17,NEM,2015-04-18 23:59:59,0.000140929,0.000167001,0.000170014,0.000140929
18,NEM,2015-04-19 23:59:59,0.000136902,0.000141091,0.000160037,0.00014712
19,NEM,2015-04-20 23:59:59,0.000128413,0.000147129,0.000150252,0.00013269
20,NEM,2015-04-21 23:59:59,0.000129105,0.000132687,0.000148287,0.00013682
21,NEM,2015-04-22 23:59:59,0.000129475,0.000137013,0.000149464,0.00013836
22,NEM,2015-04-23 23:59:59,0.000132977,0.000138287,0.000147067,0.000137397
23,NEM,2015-04-24 23:59:59,0.000131777,0.000137111,0.000149505,0.000149505
24,NEM,2015-04-25 23:59:59,0.000137111,0.000149483,0.0001496,0.000140417
25,NEM,2015-04-26 23:59:59,0.000127471,0.000140429,0.000140761,0.000134005
26,NEM,2015-04-27 23:59:59,0.000133588,0.000133971,0.000167902,0.000162762
27,NEM,2015-04-28 23:59:59,0.000145881,0.00016028,0.000162865,0.000148795
28,NEM,2015-04-29 23:59:59,0.000142109,0.000148621,0.000151744,0.000147204
29,NEM,2015-04-30 23:59:59,0.000146643,0.000147003,0.000159928,0.000157136
30,NEM,2015-05-01 23:59:59,0.000152819,0.000156999,0.000158487,0.000155563
31,NEM,2015-05-02 23:59:59,0.000145951,0.000153451,0.00015805,0.000155102
32,NEM,2015-05-03 23:59:59,0.000142179,0.000155069,0.00015788,0.000148968
33,NEM,2015-05-04 23:59:59,0.000141605,0.000148966,0.000157269,0.000150754
34,NEM,2015-05-05 23:59:59,0.00013697,0.000150649,0.000152869,0.000141045
35,NEM,2015-05-06 23:59:59,0.000139473,0.000141121,0.000146115,0.000142513
36,NEM,2015-05-07 23:59:59,0.000141686,0.000142441,0.000159796,0.000156463
37,NEM,2015-05-08 23:59:59,0.000147158,0.000156377,0.000160184,0.000155255
38,NEM,2015-05-09 23:59:59,0.000149596,0.000155195,0.000155334,0.000149986
39,NEM,2015-05-10 23:59:59,0.000146045,0.000149922,0.000158641,0.000151405
40,NEM,2015-05-11 23:59:59,0.000140134,0.000151407,0.000154981,0.000154981
41,NEM,2015-05-12 23:59:59,0.000146566,0.000154973,0.000165711,0.000164693
42,NEM,2015-05-13 23:59:59,0.000158144,0.000164888,0.000173668,0.000158729
43,NEM,2015-05-14 23:59:59,0.000155031,0.00015862,0.000169136,0.000159979
44,NEM,2015-05-15 23:59:59,0.000154327,0.000159992,0.000164979,0.000163803
45,NEM,2015-05-16 23:59:59,0.000155039,0.000163882,0.000178051,0.000155551
46,NEM,2015-05-17 23:59:59,0.000154689,0.000155467,0.000161647,0.000159672
47,NEM,2015-05-18 23:59:59,0.000159182,0.00015973,0.000178048,0.000168765
48,NEM,2015-05-19 23:59:59,0.000164206,0.00016598,0.000181445,0.000170527
49,NEM,2015-05-20 23:59:59,0.000167444,0.000170758,0.000178901,0.000171753
50,NEM,2015-05-21 23:59:59,0.000170082,0.000171751,0.000185226,0.000172217
51,NEM,2015-05-22 23:59:59,0.0001676,0.0001722,0.000183438,0.000177488
52,NEM,2015-05-23 23:59:59,0.000174903,0.000177442,0.000186925,0.00017705
53,NEM,2015-05-24 23:59:59,0.000173033,0.000177127,0.000182924,0.000182073
54,NEM,2015-05-25 23:59:59,0.000177738,0.000182054,0.000187571,0.000177738
55,NEM,2015-05-26 23:59:59,0.000177593,0.000177747,0.00019129,0.000182889
56,NEM,2015-05-27 23:59:59,0.000182782,0.000182852,0.00020992,0.000197471
57,NEM,2015-05-28 23:59:59,0.000188198,0.000194793,0.000200879,0.000195917
58,NEM,2015-05-29 23:59:59,0.000183046,0.000195796,0.000197977,0.000183393
59,NEM,2015-05-30 23:59:59,0.000182829,0.00018339,0.000192248,0.000185411
60,NEM,2015-05-31 23:59:59,0.00017055,0.000185244,0.000185332,0.000176696
61,NEM,2015-06-01 23:59:59,0.000165869,0.000176729,0.000180496,0.000170115
62,NEM,2015-06-02 23:59:59,0.000167698,0.000170091,0.000184537,0.000178312
63,NEM,2015-06-03 23:59:59,0.000175001,0.000178259,0.000180128,0.000177242
64,NEM,2015-06-04 23:59:59,0.000171355,0.000177242,0.000179316,0.000171942
65,NEM,2015-06-05 23:59:59,0.000168107,0.000171808,0.000180922,0.000179005
66,NEM,2015-06-06 23:59:59,0.000164889,0.000179048,0.000179157,0.000169911
67,NEM,2015-06-07 23:59:59,0.000163387,0.000169894,0.000176392,0.000167707
68,NEM,2015-06-08 23:59:59,0.000166828,0.000167784,0.000171844,0.000171479
69,NEM,2015-06-09 23:59:59,0.000138901,0.000171306,0.000172735,0.0001475
70,NEM,2015-06-10 23:59:59,0.000131811,0.000149367,0.000158665,0.000153236
71,NEM,2015-06-11 23:59:59,0.000141989,0.000153271,0.00015583,0.000148123
72,NEM,2015-06-12 23:59:59,0.000142011,0.000148123,0.000153923,0.000148042
73,NEM,2015-06-13 23:59:59,0.000146431,0.000148002,0.000155424,0.000155424
